preferred_task,quality_score,title,description,type_of_task,priority_level,due_date,workload
Schematic Design,0.71,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Conceptual Design,High,2025-04-12,9
Site Plan,0.63,Technical Specifications,Compile technical specifications for the construction phase.,Interior Layout Plan,Neutral,2025-05-01,2
Lighting & Fixture Plan,0.94,Structural Coordination,Coordinate with the structural engineer for beam placements.,Hardscape Plan,Neutral,2025-04-29,0
Site Plan,0.69,Structural Coordination,Coordinate with the structural engineer for beam placements.,Design Development,Neutral,2025-05-02,9
Material Board,0.66,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Door & Window Schedule,Neutral,2025-04-11,9
Custom Millwork & Joinery Drawing,0.79,Construction Documentation,Compile detailed construction drawings for city permit approval.,Conceptual Design,High,2025-04-22,6
General Specification,0.84,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Furniture Layout Plan,High,2025-04-27,3
Others,0.9,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Landscape Plan,High,2025-04-30,10
Virtual Reality,0.75,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Design Development,Low,2025-05-09,6
Elevation Drawing,0.93,Structural Coordination,Coordinate with the structural engineer for beam placements.,Floor Plan,High,2025-05-09,0
Finish Schedule,0.8,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Construction Document,Low,2025-04-22,6
3D Model,0.88,Construction Documentation,Compile detailed construction drawings for city permit approval.,Virtual Reality,High,2025-05-05,6
Elevation Drawing,1.0,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,3D Render,Low,2025-04-28,7
Furniture Layout Plan,0.66,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Finish Schedule,Neutral,2025-05-02,10
Schematic Design,0.91,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Door & Window Schedule,High,2025-04-25,4
Custom Millwork & Joinery Drawing,0.95,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Lighting & Fixture Plan,Low,2025-04-21,6
Hardscape Plan,0.84,Construction Documentation,Compile detailed construction drawings for city permit approval.,3D Render,Low,2025-04-23,3
Hardscape Plan,0.91,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,3D Model,Neutral,2025-04-30,1
Door & Window Schedule,0.88,Construction Documentation,Compile detailed construction drawings for city permit approval.,Custom Millwork & Joinery Drawing,Neutral,2025-05-07,6
Schematic Design,0.72,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Construction Document,High,2025-04-23,7
Technical Specification,0.77,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Furniture Layout Plan,Neutral,2025-04-15,5
General Specification,0.89,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,3D Model,High,2025-05-08,6
Others,0.72,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Material Board,High,2025-04-19,3
Section Drawing,0.71,Technical Specifications,Compile technical specifications for the construction phase.,Site Plan,Neutral,2025-04-17,10
Elevation Drawing,0.93,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Construction Document,Low,2025-04-18,4
Construction Document,0.77,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Schematic Design,Low,2025-04-24,3
Roof Plan,0.97,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Zoning & Building Code Compliance,Neutral,2025-04-27,4
Door & Window Schedule,0.99,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Furniture Layout Plan,Neutral,2025-05-04,3
Lighting & Fixture Plan,0.72,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Furniture Layout Plan,Neutral,2025-04-19,10
Floor Plan,0.72,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Others,Neutral,2025-04-17,9
3D Render,0.9,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Zoning & Building Code Compliance,High,2025-04-29,6
Hardscape Plan,0.79,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Door & Window Schedule,Neutral,2025-04-13,1
Hardscape Plan,0.97,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Interior Layout Plan,Low,2025-05-09,2
Interior Layout Plan,0.88,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,3D Model,High,2025-05-09,6
Hardscape Plan,0.72,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Furniture Layout Plan,High,2025-04-14,6
Conceptual Design,0.63,Technical Specifications,Compile technical specifications for the construction phase.,3D Render,High,2025-05-02,8
Interior Layout Plan,0.66,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Zoning & Building Code Compliance,High,2025-04-28,5
Furniture Layout Plan,0.73,Technical Specifications,Compile technical specifications for the construction phase.,Door & Window Schedule,Neutral,2025-04-18,3
Others,0.74,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Section Drawing,High,2025-05-07,7
Lighting & Fixture Plan,0.81,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Lighting & Fixture Plan,Low,2025-04-23,8
3D Model,0.87,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,General Specification,Neutral,2025-04-23,8
Lighting & Fixture Plan,0.61,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Zoning & Building Code Compliance,Neutral,2025-04-25,0
Finish Schedule,1.0,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,3D Model,Low,2025-04-19,6
Conceptual Design,0.84,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Floor Plan,Neutral,2025-04-12,7
Reflected Ceiling Plan,0.74,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Technical Specification,Neutral,2025-04-25,4
Others,0.92,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Material Board,High,2025-05-08,8
Permit Drawing,0.99,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Roof Plan,Low,2025-04-16,1
Lighting & Fixture Plan,0.69,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Technical Specification,Low,2025-05-08,8
Door & Window Schedule,0.94,Structural Coordination,Coordinate with the structural engineer for beam placements.,Schematic Design,High,2025-04-19,8
Site Plan,0.88,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Reflected Ceiling Plan,Low,2025-05-02,3
Construction Document,0.77,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,General Specification,Low,2025-04-25,9
Door & Window Schedule,0.77,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Lighting & Fixture Plan,Neutral,2025-05-01,1
Conceptual Design,0.93,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Conceptual Design,Low,2025-05-08,2
Partition Plan,0.75,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Permit Drawing,Low,2025-05-04,5
Design Development,0.61,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Hardscape Plan,Low,2025-04-18,7
Zoning & Building Code Compliance,0.78,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,General Specification,High,2025-04-28,9
Roof Plan,0.93,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Site Plan,Neutral,2025-04-27,2
3D Model,0.83,Landscape Design Refinement,Enhance the planting layout for the residential garden.,General Specification,Neutral,2025-05-09,2
Conceptual Design,0.89,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Material Board,Neutral,2025-05-03,1
Elevation Drawing,0.69,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Others,Low,2025-04-20,9
Zoning & Building Code Compliance,0.74,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Conceptual Design,Neutral,2025-04-30,4
Technical Specification,0.61,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Furniture Layout Plan,High,2025-05-02,8
General Specification,0.62,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Site Plan,Neutral,2025-04-24,1
Permit Drawing,0.97,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Site Plan,Neutral,2025-04-28,10
Reflected Ceiling Plan,0.69,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Interior Layout Plan,Low,2025-04-24,4
Material Board,0.66,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Site Plan,High,2025-04-30,6
Design Development,0.92,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Conceptual Design,High,2025-05-01,2
3D Model,0.93,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Custom Millwork & Joinery Drawing,Neutral,2025-05-05,4
3D Render,0.86,Construction Documentation,Compile detailed construction drawings for city permit approval.,Reflected Ceiling Plan,Low,2025-04-14,1
Others,0.73,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Custom Millwork & Joinery Drawing,Low,2025-04-22,9
3D Render,0.85,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Permit Drawing,Low,2025-05-08,6
3D Render,0.71,Structural Coordination,Coordinate with the structural engineer for beam placements.,Technical Specification,Low,2025-04-27,5
Virtual Reality,0.89,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Zoning & Building Code Compliance,High,2025-04-16,7
Design Development,0.77,Construction Documentation,Compile detailed construction drawings for city permit approval.,Lighting & Fixture Plan,Neutral,2025-05-03,6
Furniture Layout Plan,0.64,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,3D Model,High,2025-04-25,2
Reflected Ceiling Plan,0.9,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Roof Plan,Low,2025-04-30,10
Partition Plan,0.95,Structural Coordination,Coordinate with the structural engineer for beam placements.,Design Development,High,2025-05-01,5
Technical Specification,0.8,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Finish Schedule,High,2025-04-20,4
Roof Plan,0.71,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Elevation Drawing,High,2025-05-02,5
Virtual Reality,0.96,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Others,Neutral,2025-04-17,7
Interior Layout Plan,0.85,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Permit Drawing,Neutral,2025-05-05,5
Finish Schedule,0.6,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Interior Layout Plan,Low,2025-05-03,9
General Specification,0.93,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Elevation Drawing,Neutral,2025-04-29,7
